"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"GSTK1",6.84611935752927e-07,-0.502269037366747,0.549,0.697,0.0159589888343365,"GSTK1","Up in Healthy"
"SERTAD3",7.10546553503548e-07,-0.855736373979915,0.158,0.252,0.0165635507087212,"SERTAD3","Up in Healthy"
"PGRMC1",7.16950739844469e-07,2.64394293944021,0.274,0.159,0.0167128386965144,"PGRMC1","Up in Severe"
"HMGN3",7.40128160006782e-07,-0.62712211053006,0.349,0.495,0.0172531275379181,"HMGN3","Up in Healthy"
"PRKDC",7.461821390894e-07,-0.647305069098764,0.226,0.329,0.017394251844313,"PRKDC","Up in Healthy"
"RUFY1",7.6116531988981e-07,2.88770109730228,0.272,0.168,0.0177435247719514,"RUFY1","Up in Severe"
"IP6K1",8.11902049011669e-07,-0.802700332552088,0.167,0.281,0.018926248664511,"IP6K1","Up in Healthy"
"TRAPPC10",8.17811380143245e-07,-0.58947703513124,0.248,0.371,0.0190640010825192,"TRAPPC10","Up in Healthy"
"SAT1",8.4979224611939e-07,0.781556176088034,0.787,0.772,0.0198095070492891,"SAT1","Up in Severe"
"ATG2A",9.28180844209514e-07,-0.76510941316735,0.223,0.335,0.021636823659368,"ATG2A","Up in Healthy"
"CCND3",9.67092678855975e-07,1.2050558699948,0.646,0.579,0.0225438974368116,"CCND3","Up in Severe"
"OGA",1.00931274556373e-06,-0.505698130119332,0.413,0.57,0.023528089411836,"OGA","Up in Healthy"
"DDIT3",1.17872656490712e-06,1.14590893442489,0.332,0.209,0.0274772949545499,"DDIT3","Up in Severe"
"ZYX",1.23489248036643e-06,1.09467652326614,0.435,0.374,0.0287865786098218,"ZYX","Up in Severe"
"MXD1",1.32148308477798e-06,1.68837408550307,0.321,0.19,0.0308050921892596,"MXD1","Up in Severe"
"ZBTB20",1.34282175800671e-06,-0.616454431552501,0.228,0.351,0.0313025180008943,"ZBTB20","Up in Healthy"
"CASP8",1.35148316661915e-06,-0.792977770512778,0.283,0.438,0.0315044240970591,"CASP8","Up in Healthy"
"ZNF652",1.36411900450419e-06,-0.598286514764759,0.204,0.314,0.0317989781139972,"ZNF652","Up in Healthy"
"NFATC3",1.37958435093836e-06,-0.771585167361655,0.205,0.326,0.032159490804724,"NFATC3","Up in Healthy"
"ACTB",1.56049558635241e-06,0.728450026544579,0.974,0.995,0.0363767126134609,"ACTB","Up in Severe"
"DNAJC19",1.9717228119315e-06,-0.527982508966898,0.19,0.254,0.0459628304689352,"DNAJC19","Up in Healthy"
"SUMF2",2.08663550813262e-06,-0.723328800740049,0.232,0.35,0.0486415603300796,"SUMF2","Up in Healthy"
"DUS1L",2.09620412856707e-06,-0.60451108096629,0.255,0.359,0.0488646144410269,"DUS1L","Up in Healthy"
"CD2",2.215939432135e-06,-0.836850695415535,0.187,0.371,0.0516557641024991,"CD2","Up in Healthy"
"SAMSN1",2.23361079144862e-06,1.07010112766919,0.424,0.322,0.0520677011594587,"SAMSN1","Up in Severe"
"SNRNP200",2.36970914891477e-06,-0.596775151776148,0.284,0.405,0.0552402899703522,"SNRNP200","Up in Healthy"
"NCF1",2.37975713184919e-06,0.879113887264186,0.54,0.388,0.0554745185005364,"NCF1","Up in Severe"
"RNF126",2.41293357005679e-06,-0.774466341940293,0.297,0.442,0.0562478944515937,"RNF126","Up in Healthy"
"PRPF4B",2.41505771335311e-06,-0.574757321412166,0.403,0.57,0.0562974103559743,"PRPF4B","Up in Healthy"
"KLF3",2.45466590971413e-06,-0.622523750028672,0.444,0.609,0.0572207170213461,"KLF3","Up in Healthy"
"DDHD1",2.70143777397925e-06,-0.762504035435003,0.227,0.358,0.0629732159492304,"DDHD1","Up in Healthy"
"KHDC4",2.74824719055833e-06,-0.868894205118518,0.156,0.266,0.0640643902591052,"KHDC4","Up in Healthy"
"MZT2A",2.75669629688797e-06,-0.565251996213658,0.362,0.47,0.0642613473767554,"MZT2A","Up in Healthy"
"MIR4435-2HG",2.93597085085511e-06,1.42787900553446,0.273,0.19,0.0684404165042835,"MIR4435-2HG","Up in Severe"
"FAM118A",3.12749401661107e-06,-0.944824952899893,0.175,0.311,0.0729050130212206,"FAM118A","Up in Healthy"
"CTSD",3.35549435723118e-06,1.13005545215725,0.62,0.633,0.078219928961416,"CTSD","Up in Severe"
"CD3D",3.36393047351721e-06,-0.517817287918435,0.193,0.332,0.0784165832681596,"CD3D","Up in Healthy"
"FTL",3.7487024231608e-06,0.505364137177775,0.982,0.992,0.0873860021863015,"FTL","Up in Severe"
"MUC20-OT1",3.79876979749518e-06,-0.666133564155412,0.234,0.337,0.0885531227494102,"MUC20-OT1","Up in Healthy"
"RASAL3",4.38402736865789e-06,-0.816390288890704,0.175,0.29,0.102196061990784,"RASAL3","Up in Healthy"
"CD83",4.47535434114158e-06,1.27238561486696,0.341,0.249,0.104324985046351,"CD83","Up in Severe"
"PNKP",4.58576882610891e-06,-0.671783518380567,0.18,0.261,0.106898857105425,"PNKP","Up in Healthy"
"CALM3",4.61973306007226e-06,1.34366770645191,0.649,0.607,0.107690597363344,"CALM3","Up in Severe"
"GLS",4.71205456165904e-06,-0.791802756929654,0.229,0.362,0.109842703886834,"GLS","Up in Healthy"
"BLOC1S4",5.12936137206407e-06,-0.63796658541324,0.2,0.291,0.119570542944185,"BLOC1S4","Up in Healthy"
"SUGP2",5.33940420425666e-06,-0.578054552012231,0.189,0.273,0.124466851405427,"SUGP2","Up in Healthy"
"SLC25A37",5.81768777117165e-06,1.86857892274905,0.424,0.275,0.135616119633782,"SLC25A37","Up in Severe"
