"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"CD69",2.64041736064512e-12,-0.752886578429728,0.358,0.576,6.15507690939984e-08,"CD69","Up in Mild"
"LEPROTL1",2.71940500930742e-12,-0.933749751472957,0.377,0.57,6.33920501719652e-08,"LEPROTL1","Up in Mild"
"NR4A2",3.53243297960729e-12,-1.3824831703026,0.244,0.422,8.23445451876255e-08,"NR4A2","Up in Mild"
"CLEC2B",3.74119799056179e-12,-0.581732602353381,0.461,0.61,8.72110663579859e-08,"CLEC2B","Up in Mild"
"GZMH",4.28307252806268e-12,-0.947497535119645,0.16,0.309,9.9842703701669e-08,"GZMH","Up in Mild"
"ARF6",4.70148950374802e-12,-0.544881598054345,0.526,0.662,1.0959642182187e-07,"ARF6","Up in Mild"
"KMT2E",5.49203916832553e-12,-0.711342459950232,0.555,0.749,1.28024925052836e-07,"KMT2E","Up in Mild"
"HSPA5",8.16186860949006e-12,-0.59013362343206,0.545,0.709,1.90261319155823e-07,"HSPA5","Up in Mild"
"SRSF5",8.40428941652563e-12,-0.509681489330323,0.697,0.85,1.95912390588629e-07,"SRSF5","Up in Mild"
"SARAF",9.51463408838681e-12,-0.605893069153463,0.69,0.86,2.21795635234385e-07,"SARAF","Up in Mild"
"CD3D",1.22200370190737e-11,-0.721229340607623,0.193,0.347,2.84861282951628e-07,"CD3D","Up in Mild"
"RNF166",1.74639064878769e-11,-0.736312613141575,0.373,0.528,4.07101124138899e-07,"RNF166","Up in Mild"
"CXCR4",1.96160409629874e-11,-0.702725848372145,0.626,0.763,4.57269530888198e-07,"CXCR4","Up in Mild"
"CTSA",2.08350874349794e-11,1.4355685320236,0.523,0.381,4.85686723196804e-07,"CTSA","Up in Severe"
"CD7",2.11545219239447e-11,-1.03752360355744,0.229,0.424,4.93133060569075e-07,"CD7","Up in Mild"
"SOD2",3.45566789422362e-11,1.2752017882787,0.511,0.381,8.05550742822468e-07,"SOD2","Up in Severe"
"SPOCK2",3.71933041762535e-11,-0.947865080432333,0.218,0.366,8.67013113652646e-07,"SPOCK2","Up in Mild"
"NKG7",3.79625057206003e-11,-1.23511835612954,0.355,0.47,8.84943970852914e-07,"NKG7","Up in Mild"
"HSPE1",3.81785456105708e-11,-0.696047911467519,0.337,0.466,8.89980076728016e-07,"HSPE1","Up in Mild"
"NRGN",3.96116391651668e-11,1.74831956918217,0.532,0.399,9.23386920579203e-07,"NRGN","Up in Severe"
"IL2RG",4.22344781167927e-11,-0.653916580215739,0.337,0.497,9.84527919380554e-07,"IL2RG","Up in Mild"
"HOPX",4.79401102321136e-11,-0.91621578036163,0.164,0.296,1.1175319096208e-06,"HOPX","Up in Mild"
"CYTIP",5.55601044165317e-11,-0.601393452551843,0.497,0.653,1.29516159405377e-06,"CYTIP","Up in Mild"
"GZMB",5.75228321026133e-11,-0.929461509442861,0.152,0.297,1.34091473914402e-06,"GZMB","Up in Mild"
"PRKCH",6.05758855840477e-11,-1.09401882287015,0.145,0.281,1.41208446884973e-06,"PRKCH","Up in Mild"
"GADD45B",6.39629738311965e-11,-0.810366094148672,0.332,0.496,1.49104088297902e-06,"GADD45B","Up in Mild"
"PIK3R1",6.89359861548716e-11,-1.02385583127899,0.412,0.582,1.60696677325621e-06,"PIK3R1","Up in Mild"
"TIMP1",6.90906220294187e-11,1.20551182858071,0.591,0.466,1.61057149012778e-06,"TIMP1","Up in Severe"
"ZBTB7A",7.10519302816542e-11,-0.653306849262705,0.445,0.568,1.65629154679564e-06,"ZBTB7A","Up in Mild"
"RSRP1",7.17696352494762e-11,-0.637553782650255,0.47,0.647,1.67302196730054e-06,"RSRP1","Up in Mild"
"EVL",8.90866329097161e-11,-0.630105183817724,0.388,0.601,2.07669849975839e-06,"EVL","Up in Mild"
"TRBC1",1.03363369919595e-10,-0.882940053769779,0.149,0.314,2.40950351619568e-06,"TRBC1","Up in Mild"
"FGFBP2",1.28505888732621e-10,-1.34869732540055,0.14,0.278,2.99560077224613e-06,"FGFBP2","Up in Mild"
"CYTH1",1.29223620701408e-10,-0.607403259796846,0.421,0.57,3.01233182217052e-06,"CYTH1","Up in Mild"
"MPP1",1.55444592239456e-10,1.47082722300507,0.365,0.221,3.62356888969397e-06,"MPP1","Up in Severe"
"BHLHE40",1.57389420702577e-10,-1.0262203738489,0.316,0.477,3.66890478599777e-06,"BHLHE40","Up in Mild"
"FMNL1",1.57918459738635e-10,-0.5420269211497,0.579,0.736,3.68123721496733e-06,"FMNL1","Up in Mild"
"CCL4",1.68281704753161e-10,-1.26119570891963,0.223,0.356,3.92281481950093e-06,"CCL4","Up in Mild"
"CLEC2D",1.68550788938574e-10,-0.885874589202966,0.263,0.434,3.9290874409471e-06,"CLEC2D","Up in Mild"
"DDX6",1.81042350064344e-10,-0.573310707643075,0.486,0.649,4.22027822234993e-06,"DDX6","Up in Mild"
"RBM25",2.42084635759583e-10,-0.564087128157938,0.529,0.686,5.64323494419163e-06,"RBM25","Up in Mild"
"HLA-DPA1",2.60690821465677e-10,-0.748785401033009,0.539,0.723,6.0769637391864e-06,"HLA-DPA1","Up in Mild"
"IGLC2",2.67085362726793e-10,0.746394226381889,0.257,0.132,6.22602689052427e-06,"IGLC2","Up in Severe"
"PITPNC1",2.69282728045059e-10,-0.75493153128914,0.194,0.292,6.27724967345838e-06,"PITPNC1","Up in Mild"
"LCK",3.29687272590123e-10,-0.85633350816219,0.184,0.332,7.68534001134836e-06,"LCK","Up in Mild"
"PDLIM1",3.55426797493006e-10,1.95541642441564,0.329,0.201,8.28535407635947e-06,"PDLIM1","Up in Severe"
"RARRES3",3.82888114784039e-10,-0.557649278485722,0.383,0.547,8.92550484373073e-06,"RARRES3","Up in Mild"
